(pc,x,y,z,f)
635:(9,0,2,2,1)
636:(9,0,2,3,0)
637:(9,0,2,3,1)
638:(9,0,3,1,0)
639:(9,0,3,1,1)
640:(9,0,3,2,0)
641:(9,0,3,2,1)
642:(9,0,3,3,0)
643:(9,0,3,3,1)
644:(9,0,4,1,0)
645:(9,0,4,1,1)
646:(9,0,4,2,0)
647:(9,0,4,2,1)
648:(9,0,4,3,0)
649:(9,0,4,3,1)
650:(9,0,5,1,0)
651:(9,0,5,1,1)
652:(9,0,5,2,0)
653:(9,0,5,2,1)
654:(9,0,5,3,0)
655:(9,0,5,3,1)
656:(9,1,0,1,0)
657:(9,1,0,1,1)
658:(9,1,0,2,0)
659:(9,1,0,2,1)
660:(9,1,0,3,0)
661:(9,1,0,3,1)
662:(9,1,1,1,0)
663:(9,1,1,1,1)
664:(9,1,1,2,0)
665:(9,1,1,2,1)
666:(9,1,1,3,0)
667:(9,1,1,3,1)
668:(9,1,2,1,0)
669:(9,1,2,1,1)
670:(9,1,2,2,0)
671:(9,1,2,2,1)
672:(9,1,2,3,0)
673:(9,1,2,3,1)
674:(9,1,3,1,0)
675:(9,1,3,1,1)
676:(9,1,3,2,0)
677:(9,1,3,2,1)
678:(9,1,3,3,0)
679:(9,1,3,3,1)
680:(9,1,4,1,0)
681:(9,1,4,1,1)
682:(9,1,4,2,0)
683:(9,1,4,2,1)
684:(9,1,4,3,0)
685:(9,1,4,3,1)
686:(9,1,5,1,0)
687:(9,1,5,1,1)
688:(9,1,5,2,0)
689:(9,1,5,2,1)
690:(9,1,5,3,0)
691:(9,1,5,3,1)
692:(9,2,0,1,0)
693:(9,2,0,1,1)
694:(9,2,0,2,0)
695:(9,2,0,2,1)
696:(9,2,0,3,0)
697:(9,2,0,3,1)
698:(9,2,1,1,0)
699:(9,2,1,1,1)
700:(9,2,1,2,0)
701:(9,2,1,2,1)
702:(9,2,1,3,0)
703:(9,2,1,3,1)
704:(9,2,2,1,0)
705:(9,2,2,1,1)
706:(9,2,2,2,0)
707:(9,2,2,2,1)
708:(9,2,2,3,0)
709:(9,2,2,3,1)
710:(9,2,3,1,0)
711:(9,2,3,1,1)
712:(9,2,3,2,0)
713:(9,2,3,2,1)
714:(9,2,3,3,0)
715:(9,2,3,3,1)
716:(9,2,4,1,0)
717:(9,2,4,1,1)
718:(9,2,4,2,0)
719:(9,2,4,2,1)
720:(9,2,4,3,0)
721:(9,2,4,3,1)
722:(9,2,5,1,0)
723:(9,2,5,1,1)
724:(9,2,5,2,0)
725:(9,2,5,2,1)
726:(9,2,5,3,0)
727:(9,2,5,3,1)
728:(9,3,0,1,0)
729:(9,3,0,1,1)
730:(9,3,0,2,0)
731:(9,3,0,2,1)
732:(9,3,0,3,0)
733:(9,3,0,3,1)
734:(9,3,1,1,0)
735:(9,3,1,1,1)
736:(9,3,1,2,0)
737:(9,3,1,2,1)
738:(9,3,1,3,0)
739:(9,3,1,3,1)
740:(9,3,2,1,0)
741:(9,3,2,1,1)
742:(9,3,2,2,0)
743:(9,3,2,2,1)
744:(9,3,2,3,0)
745:(9,3,2,3,1)
746:(9,3,3,1,0)
747:(9,3,3,1,1)
748:(9,3,3,2,0)
749:(9,3,3,2,1)
750:(9,3,3,3,0)
751:(9,3,3,3,1)
752:(9,3,4,1,0)
753:(9,3,4,1,1)
754:(9,3,4,2,0)
755:(9,3,4,2,1)
756:(9,3,4,3,0)
757:(9,3,4,3,1)
758:(9,3,5,1,0)
759:(9,3,5,1,1)
760:(9,3,5,2,0)
761:(9,3,5,2,1)
762:(9,3,5,3,0)
763:(9,3,5,3,1)
764:(9,4,0,1,0)
765:(9,4,0,1,1)
766:(9,4,0,2,0)
767:(9,4,0,2,1)
768:(9,4,0,3,0)
769:(9,4,0,3,1)
770:(9,4,1,1,0)
771:(9,4,1,1,1)
772:(9,4,1,2,0)
773:(9,4,1,2,1)
774:(9,4,1,3,0)
775:(9,4,1,3,1)
776:(9,4,2,1,0)
777:(9,4,2,1,1)
778:(9,4,2,2,0)
779:(9,4,2,2,1)
780:(9,4,2,3,0)
781:(9,4,2,3,1)
782:(9,4,3,1,0)
783:(9,4,3,1,1)
784:(9,4,3,2,0)
785:(9,4,3,2,1)
786:(9,4,3,3,0)
787:(9,4,3,3,1)
788:(9,4,4,1,0)
789:(9,4,4,1,1)
790:(9,4,4,2,0)
791:(9,4,4,2,1)
792:(9,4,4,3,0)
793:(9,4,4,3,1)
794:(9,4,5,1,0)
795:(9,4,5,1,1)
796:(9,4,5,2,0)
797:(9,4,5,2,1)
798:(9,4,5,3,0)
799:(9,4,5,3,1)
800:(9,5,0,1,0)
801:(9,5,0,1,1)
802:(9,5,0,2,0)
803:(9,5,0,2,1)
804:(9,5,0,3,0)
805:(9,5,0,3,1)
806:(9,5,1,1,0)
807:(9,5,1,1,1)
808:(9,5,1,2,0)
809:(9,5,1,2,1)
810:(9,5,1,3,0)
811:(9,5,1,3,1)
812:(9,5,2,1,0)
813:(9,5,2,1,1)
814:(9,5,2,2,0)
815:(9,5,2,2,1)
816:(9,5,2,3,0)
817:(9,5,2,3,1)
818:(9,5,3,1,0)
819:(9,5,3,1,1)
820:(9,5,3,2,0)
821:(9,5,3,2,1)
822:(9,5,3,3,0)
823:(9,5,3,3,1)
824:(9,5,4,1,0)
825:(9,5,4,1,1)
826:(9,5,4,2,0)
827:(9,5,4,2,1)
828:(9,5,4,3,0)
829:(9,5,4,3,1)
830:(9,5,5,1,0)
831:(9,5,5,1,1)
832:(9,5,5,2,0)
833:(9,5,5,2,1)
834:(9,5,5,3,0)
835:(9,5,5,3,1)
836:(9,6,0,1,0)
837:(9,6,0,1,1)
838:(9,6,0,2,0)
839:(9,6,0,2,1)
840:(9,6,0,3,0)
841:(9,6,0,3,1)
842:(9,6,1,1,0)
843:(9,6,1,1,1)
844:(9,6,1,2,0)
845:(9,6,1,2,1)
846:(9,6,1,3,0)
847:(9,6,1,3,1)
848:(9,6,2,1,0)
849:(9,6,2,1,1)
850:(9,6,2,2,0)
851:(9,6,2,2,1)
852:(9,6,2,3,0)
853:(9,6,2,3,1)
854:(9,6,3,1,0)
855:(9,6,3,1,1)
856:(9,6,3,2,0)
857:(9,6,3,2,1)
858:(9,6,3,3,0)
859:(9,6,3,3,1)
860:(9,6,4,1,0)
861:(9,6,4,1,1)
862:(9,6,4,2,0)
863:(9,6,4,2,1)
864:(9,6,4,3,0)
865:(9,6,4,3,1)
866:(9,6,5,1,0)
867:(9,6,5,1,1)
868:(9,6,5,2,0)
869:(9,6,5,2,1)
870:(9,6,5,3,0)
871:(9,6,5,3,1)
872:(9,7,0,2,0)
873:(9,7,0,2,1)
874:(9,7,0,3,0)
875:(9,7,0,3,1)
876:(9,7,1,2,0)
877:(9,7,1,2,1)
878:(9,7,1,3,0)
879:(9,7,1,3,1)
880:(9,7,2,2,0)
881:(9,7,2,2,1)
882:(9,7,2,3,0)
883:(9,7,2,3,1)
884:(9,7,3,2,0)
885:(9,7,3,2,1)
886:(9,7,3,3,0)
887:(9,7,3,3,1)
888:(9,7,4,2,0)
889:(9,7,4,2,1)
890:(9,7,4,3,0)
891:(9,7,4,3,1)
892:(9,7,5,2,0)
893:(9,7,5,2,1)
894:(9,7,5,3,0)
895:(9,7,5,3,1)
896:(9,8,0,3,0)
897:(9,8,0,3,1)
898:(9,8,1,3,0)
899:(9,8,1,3,1)
900:(9,8,2,3,0)
901:(9,8,2,3,1)
902:(9,8,3,3,0)
903:(9,8,3,3,1)
904:(9,8,4,3,0)
905:(9,8,4,3,1)
906:(9,8,5,3,0)
907:(9,8,5,3,1)
908:(11,-2,1,1,1)
909:(11,-2,1,2,1)
910:(11,-2,1,3,1)
911:(11,-2,2,1,1)
912:(11,-2,2,2,1)
913:(11,-2,2,3,1)
914:(11,-2,3,1,1)
915:(11,-2,3,2,1)
916:(11,-2,3,3,1)
917:(11,-2,4,1,1)
918:(11,-2,4,2,1)
919:(11,-2,4,3,1)
920:(11,-2,5,1,1)
921:(11,-2,5,2,1)
922:(11,-2,5,3,1)
923:(11,-2,6,1,1)
924:(11,-2,6,2,1)
